customer_id,recency,frequency,monetary,R,F,M,RFM_SCORE,cluster,segment
172,34,2,18825,4,1,5,415,0,High Value Customer
186,37,1,10005,4,1,4,414,0,Recent Customer
264,11,2,4384,5,1,2,512,0,Recent Customer
419,51,1,198,4,1,1,411,4,Regular Customer
539,94,1,3040,2,1,2,212,1,Regular Customer
627,29,1,8056,5,1,3,513,0,Recent Customer
795,39,1,2727,4,1,2,412,0,Regular Customer
914,31,1,19660,4,1,5,415,0,High Value Customer
964,66,1,13971,3,1,5,315,4,Regular Customer
1032,84,1,9578,3,1,4,314,4,Regular Customer
1636,133,1,8908,1,1,4,114,1,At Risk Customer
1765,88,1,1314,2,1,1,211,4,Regular Customer
2019,107,2,4695,2,1,3,213,1,At Risk Customer
2133,123,1,1588,1,1,1,111,1,At Risk Customer
2216,73,1,17472,3,1,5,315,4,Regular Customer
2242,95,1,2863,2,1,2,212,1,Regular Customer
2468,136,1,14739,1,1,5,115,1,At Risk Customer
2519,3,1,586,5,1,1,511,0,Recent Customer
2598,68,1,4268,3,1,2,312,4,Regular Customer
2646,52,1,9592,4,1,4,414,4,Regular Customer
2807,6,1,786,5,1,1,511,0,Recent Customer
3048,8,1,8862,5,1,4,514,0,Recent Customer
3104,119,2,16631,1,1,5,115,1,At Risk Customer
3171,39,1,4317,4,1,2,412,0,Regular Customer
3174,29,1,1488,5,1,1,511,0,Recent Customer
3251,57,1,2854,4,1,2,412,4,Regular Customer
3258,88,2,15512,2,1,5,215,4,Regular Customer
3404,49,1,12812,4,1,4,414,4,Regular Customer
3465,94,3,11756,2,2,4,224,1,Loyal Customer
3581,6,1,3402,5,1,2,512,0,Recent Customer
3847,99,1,3524,2,1,2,212,1,Regular Customer
3896,80,1,1524,3,1,1,311,4,Regular Customer
3926,93,3,30532,2,2,5,225,1,Loyal Customer
3936,25,1,13184,5,1,4,514,0,Recent Customer
4061,125,1,408,1,1,1,111,1,At Risk Customer
4101,120,4,36181,1,2,5,125,1,VIP Customer
4113,63,1,240,3,1,1,311,4,Regular Customer
4115,83,1,8250,3,1,3,313,4,Regular Customer
4241,99,1,3767,2,1,2,212,1,Regular Customer
4368,47,1,3166,4,1,2,412,4,Regular Customer
4537,11,2,12440,5,1,4,514,0,Recent Customer
4606,123,2,6445,1,1,3,113,1,At Risk Customer
4694,94,2,2263,2,1,1,211,1,Regular Customer
4899,128,1,11476,1,1,4,114,1,At Risk Customer
5042,68,3,26254,3,2,5,325,4,Loyal Customer
5061,46,1,324,4,1,1,411,0,Regular Customer
5117,101,1,2334,2,1,2,212,1,Regular Customer
5207,2,1,6033,5,1,3,513,0,Recent Customer
5423,41,1,1136,4,1,1,411,0,Regular Customer
5703,53,2,5054,4,1,3,413,4,Regular Customer
5939,9,1,10820,5,1,4,514,0,Recent Customer
6029,137,1,1898,1,1,1,111,1,At Risk Customer
6190,132,1,1236,1,1,1,111,1,At Risk Customer
6265,59,1,1881,3,1,1,311,4,Regular Customer
6390,41,1,8124,4,1,3,413,0,Regular Customer
6431,53,1,556,4,1,1,411,4,Regular Customer
6468,42,4,44646,4,2,5,425,0,VIP Customer
6618,27,1,4320,5,1,2,512,0,Recent Customer
6699,133,4,11442,1,2,4,124,1,Loyal Customer
6750,4,1,1278,5,1,1,511,0,Recent Customer
6855,52,1,6718,4,1,3,413,4,Regular Customer
6911,30,1,2810,5,1,2,512,0,Recent Customer
6952,9,3,14330,5,2,5,525,0,Loyal Customer
6955,71,1,13344,3,1,4,314,4,Regular Customer
6958,70,4,42658,3,2,5,325,4,VIP Customer
7016,93,2,11194,2,1,4,214,1,Regular Customer
7244,78,1,4107,3,1,2,312,4,Regular Customer
7330,121,1,2790,1,1,2,112,1,At Risk Customer
7633,1,1,927,5,1,1,511,0,Recent Customer
7773,14,1,14310,5,1,5,515,0,Recent Customer
7969,114,1,3106,1,1,2,112,1,At Risk Customer
