customer_id,recency,frequency,monetary,R,F,M,RFM_SCORE
172,34,2,18825,4,1,5,415
186,37,1,10005,4,1,4,414
264,11,2,4384,5,1,2,512
419,51,1,198,4,1,1,411
539,94,1,3040,2,1,2,212
627,29,1,8056,5,1,3,513
795,39,1,2727,4,1,2,412
914,31,1,19660,4,1,5,415
964,66,1,13971,3,1,5,315
1032,84,1,9578,3,1,4,314
1636,133,1,8908,1,1,4,114
1765,88,1,1314,2,1,1,211
2019,107,2,4695,2,1,3,213
2133,123,1,1588,1,1,1,111
2216,73,1,17472,3,1,5,315
2242,95,1,2863,2,1,2,212
2468,136,1,14739,1,1,5,115
2519,3,1,586,5,1,1,511
2598,68,1,4268,3,1,2,312
2646,52,1,9592,4,1,4,414
2807,6,1,786,5,1,1,511
3048,8,1,8862,5,1,4,514
3104,119,2,16631,1,1,5,115
3171,39,1,4317,4,1,2,412
3174,29,1,1488,5,1,1,511
3251,57,1,2854,4,1,2,412
3258,88,2,15512,2,1,5,215
3404,49,1,12812,4,1,4,414
3465,94,3,11756,2,2,4,224
3581,6,1,3402,5,1,2,512
3847,99,1,3524,2,1,2,212
3896,80,1,1524,3,1,1,311
3926,93,3,30532,2,2,5,225
3936,25,1,13184,5,1,4,514
4061,125,1,408,1,1,1,111
4101,120,4,36181,1,2,5,125
4113,63,1,240,3,1,1,311
4115,83,1,8250,3,1,3,313
4241,99,1,3767,2,1,2,212
4368,47,1,3166,4,1,2,412
4537,11,2,12440,5,1,4,514
4606,123,2,6445,1,1,3,113
4694,94,2,2263,2,1,1,211
4899,128,1,11476,1,1,4,114
5042,68,3,26254,3,2,5,325
5061,46,1,324,4,1,1,411
5117,101,1,2334,2,1,2,212
5207,2,1,6033,5,1,3,513
5423,41,1,1136,4,1,1,411
5703,53,2,5054,4,1,3,413
5939,9,1,10820,5,1,4,514
6029,137,1,1898,1,1,1,111
6190,132,1,1236,1,1,1,111
6265,59,1,1881,3,1,1,311
6390,41,1,8124,4,1,3,413
