date,revenue,orders,quantity,profit
2015-05-03,528489,83,209,184971.15
2015-05-04,899297,154,387,314753.95
2015-05-05,1362308,225,594,476807.8
2015-05-06,1588683,258,650,556039.0499999999
2015-05-07,1345663,217,563,470982.05
2015-05-08,779432,126,306,272801.2
2015-05-09,350179,63,149,122562.65
2015-05-10,357707,60,132,125197.45
2015-05-11,501216,84,222,175425.6
2015-05-12,1143924,186,456,400373.39999999997
2015-05-13,1254734,208,501,439156.89999999997
2015-05-14,1555447,256,620,544406.45
2015-05-15,1231694,185,466,431092.89999999997
2015-05-16,831019,130,323,290856.65
2015-05-17,1061261,169,418,371441.35
2015-05-18,1414433,245,582,495051.55
2015-05-19,1261991,196,482,441696.85
2015-05-20,720213,125,311,252074.55
2015-05-21,744911,131,313,260718.85
2015-05-22,879838,154,368,307943.3
2015-05-23,587148,113,261,205501.8
2015-05-24,625237,97,253,218832.94999999998
2015-05-25,982469,178,443,343864.14999999997
2015-05-26,1164677,194,486,407636.95
2015-05-27,1297227,197,494,454029.45
2015-05-28,1364233,225,558,477481.55
2015-05-29,840623,137,328,294218.05
2015-05-30,775074,116,307,271275.9
2015-05-31,680774,99,248,238270.9
2015-06-01,1154759,200,498,404165.64999999997
2015-06-02,1293004,206,546,452551.39999999997
2015-06-03,1307904,204,531,457766.39999999997
2015-06-04,1234098,205,486,431934.3
2015-06-05,919731,149,368,321905.85
2015-06-06,660011,104,242,231003.85
2015-06-07,644397,106,251,225538.95
2015-06-08,1112098,192,468,389234.3
2015-06-09,796922,132,314,278922.7
2015-06-10,1224409,210,530,428543.14999999997
2015-06-11,914647,157,388,320126.45
2015-06-12,646260,107,249,226191.0
2015-06-13,417856,60,151,146249.6
2015-06-14,608292,108,272,212902.19999999998
2015-06-15,1190975,191,460,416841.25
2015-06-16,1840441,276,689,644154.35
2015-06-17,1689158,269,689,591205.2999999999
2015-06-18,1297827,220,528,454239.45
2015-06-19,909193,166,389,318217.55
2015-06-20,693236,111,284,242632.6
2015-06-21,532083,83,204,186229.05
2015-06-22,1473439,234,598,515703.64999999997
2015-06-23,1656870,250,639,579904.5
2015-06-24,1006997,177,415,352448.95
2015-06-25,1425503,204,540,498926.05
2015-06-26,1153384,177,449,403684.39999999997
2015-06-27,571437,91,227,200002.94999999998
2015-06-28,498234,89,228,174381.9
2015-06-29,1183390,203,490,414186.5
2015-06-30,993617,162,395,347765.95
2015-07-01,1260709,195,513,441248.14999999997
2015-07-02,900743,155,392,315260.05
2015-07-03,1004722,155,390,351652.7
2015-07-04,774765,119,282,271167.75
2015-07-05,740854,100,261,259298.9
2015-07-06,1334882,219,573,467208.7
2015-07-07,1513040,247,626,529564.0
2015-07-08,1621143,259,648,567400.05
2015-07-09,1200849,207,501,420297.14999999997
2015-07-10,1172807,181,472,410482.45
2015-07-11,576452,98,251,201758.19999999998
2015-07-12,597439,91,229,209103.65
2015-07-13,1257840,216,530,440244.0
2015-07-14,1483961,231,592,519386.35
2015-07-15,1366941,216,535,478429.35
2015-07-16,1690414,239,593,591644.9
2015-07-17,792862,139,333,277501.7
2015-07-18,715436,102,266,250402.6
2015-07-19,711325,116,299,248963.75
2015-07-20,1403559,232,578,491245.65
2015-07-21,1435041,227,583,502264.35
2015-07-22,1665918,267,675,583071.3
2015-07-23,1472433,234,596,515351.55
2015-07-24,915511,137,349,320428.85
2015-07-25,743736,116,289,260307.6
2015-07-26,951443,144,367,333005.05
2015-07-27,1618469,267,645,566464.15
2015-07-28,1838306,273,700,643407.1
2015-07-29,1339156,240,596,468704.6
2015-07-30,1289827,214,552,451439.45
2015-07-31,954404,166,416,334041.39999999997
2015-08-01,531819,79,203,186136.65
2015-08-02,640340,105,260,224119.0
2015-08-03,1243143,198,477,435100.05
2015-08-04,1374897,209,560,481213.95
2015-08-05,1423878,237,570,498357.3
2015-08-06,829295,127,312,290253.25
2015-08-07,1077519,175,436,377131.64999999997
2015-08-08,443967,67,159,155388.45
2015-08-09,338248,60,143,118386.8
2015-08-10,712265,129,318,249292.75
2015-08-11,678274,129,288,237395.9
2015-08-12,1222540,195,500,427889.0
2015-08-13,1096732,177,453,383856.2
2015-08-14,746318,112,298,261211.3
2015-08-15,706290,92,254,247201.5
2015-08-16,527212,78,198,184524.2
2015-08-17,1317509,209,520,461128.14999999997
2015-08-18,1293185,201,504,452614.75
2015-08-19,1394801,219,567,488180.35
2015-08-20,1257211,208,520,440023.85
2015-08-21,825733,132,347,289006.55
2015-08-22,591772,91,239,207120.19999999998
2015-08-23,607325,94,237,212563.75
2015-08-24,1022953,179,448,358033.55
2015-08-25,1016806,165,418,355882.1
2015-08-26,1321419,205,509,462496.64999999997
2015-08-27,1278254,210,515,447388.89999999997
2015-08-28,934983,152,371,327244.05
2015-08-29,558156,77,225,195354.59999999998
2015-08-30,791780,146,331,277123.0
2015-08-31,1038688,175,441,363540.8
2015-09-01,921818,158,375,322636.3
2015-09-02,847476,141,344,296616.6
2015-09-03,862453,138,350,301858.55
2015-09-04,997533,153,372,349136.55
2015-09-05,492906,80,205,172517.1
2015-09-06,480694,79,193,168242.9
2015-09-07,1074048,189,475,375916.8
2015-09-08,879879,148,366,307957.65
2015-09-09,1191180,192,499,416913.0
2015-09-10,1069946,181,451,374481.1
2015-09-11,1191458,211,494,417010.3
2015-09-12,627406,102,256,219592.1
2015-09-13,565757,88,218,198014.94999999998
2015-09-14,907643,154,374,317675.05
2015-09-15,930127,158,369,325544.45
2015-09-16,915619,137,343,320466.64999999997
2015-09-17,252212,45,108,88274.2
2015-09-18,78275,15,30,27396.25
