date,product_id,quantity,sales_amount,year,month,week,day,weekday,quarter,weekend,lag_1,lag_7,lag_30,rolling_7,rolling_30
2015-06-02,546,0,0,2015,6,23,2,1,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-03,546,0,0,2015,6,23,3,2,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-04,546,0,0,2015,6,23,4,3,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-05,546,0,0,2015,6,23,5,4,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-06,546,0,0,2015,6,23,6,5,2,1,0.0,0.0,0.0,0.0,0.0
2015-06-07,546,0,0,2015,6,23,7,6,2,1,0.0,0.0,0.0,0.0,0.0
2015-06-08,546,0,0,2015,6,24,8,0,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-09,546,0,0,2015,6,24,9,1,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-10,546,0,0,2015,6,24,10,2,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-11,546,0,0,2015,6,24,11,3,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-12,546,0,0,2015,6,24,12,4,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-13,546,0,0,2015,6,24,13,5,2,1,0.0,0.0,0.0,0.0,0.0
2015-06-14,546,0,0,2015,6,24,14,6,2,1,0.0,0.0,0.0,0.0,0.0
2015-06-15,546,0,0,2015,6,25,15,0,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-16,546,0,0,2015,6,25,16,1,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-17,546,0,0,2015,6,25,17,2,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-18,546,0,0,2015,6,25,18,3,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-19,546,0,0,2015,6,25,19,4,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-20,546,0,0,2015,6,25,20,5,2,1,0.0,0.0,0.0,0.0,0.0
2015-06-21,546,0,0,2015,6,25,21,6,2,1,0.0,0.0,0.0,0.0,0.0
2015-06-22,546,0,0,2015,6,26,22,0,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-23,546,0,0,2015,6,26,23,1,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-24,546,0,0,2015,6,26,24,2,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-25,546,0,0,2015,6,26,25,3,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-26,546,0,0,2015,6,26,26,4,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-27,546,0,0,2015,6,26,27,5,2,1,0.0,0.0,0.0,0.0,0.0
2015-06-28,546,0,0,2015,6,26,28,6,2,1,0.0,0.0,0.0,0.0,0.0
2015-06-29,546,0,0,2015,6,27,29,0,2,0,0.0,0.0,0.0,0.0,0.0
2015-06-30,546,0,0,2015,6,27,30,1,2,0,0.0,0.0,0.0,0.0,0.0
2015-07-01,546,0,0,2015,7,27,1,2,3,0,0.0,0.0,0.0,0.0,0.0
2015-07-02,546,0,0,2015,7,27,2,3,3,0,0.0,0.0,0.0,0.0,0.0
2015-07-03,546,0,0,2015,7,27,3,4,3,0,0.0,0.0,0.0,0.0,0.0
2015-07-04,546,0,0,2015,7,27,4,5,3,1,0.0,0.0,0.0,0.0,0.0
2015-07-05,546,0,0,2015,7,27,5,6,3,1,0.0,0.0,0.0,0.0,0.0
2015-07-06,546,0,0,2015,7,28,6,0,3,0,0.0,0.0,0.0,0.0,0.0
2015-07-07,546,0,0,2015,7,28,7,1,3,0,0.0,0.0,0.0,0.0,0.0
